
    === Trading Simulation Log ===
    Date: 2025-02-20 00:00:40
    Symbol: SMCI
    Period: 8d
    Interval: 1m
    Tax: $0.00
    Initial Cash: $10000.00
    Final Value: $14837.72
    Profit/Loss: $4837.72 (48.38%)
    Stop Loss Price: 0.60
    Total Trades: 53
    Trade History:
    No.   Action     Price        Shares    
1     BUY        $35.76        279       
2     SELL       $35.13        279       
3     BUY        $35.56        276       
4     SELL       $37.69        276       
5     BUY        $38.03        273       
6     SELL       $39.49        273       
7     BUY        $39.93        270       
8     SELL       $41.05        270       
9     BUY        $41.55        267       
10    SELL       $40.87        267       
11    BUY        $41.32        264       
12    SELL       $41.78        264       
13    BUY        $42.29        261       
14    SELL       $39.92        261       
15    BUY        $41.76        249       
16    SELL       $41.15        249       
17    BUY        $41.22        249       
18    SELL       $40.40        249       
19    BUY        $39.74        253       
20    SELL       $39.00        253       
21    BUY        $39.42        250       
22    SELL       $38.65        250       
23    BUY        $41.91        231       
24    SELL       $41.20        231       
25    BUY        $40.66        234       
26    SELL       $42.83        234       
27    BUY        $42.67        235       
28    SELL       $42.02        235       
29    BUY        $40.02        247       
30    SELL       $39.29        247       
31    BUY        $39.70        244       
32    SELL       $46.66        244       
33    BUY        $46.97        242       
34    SELL       $46.18        242       
35    BUY        $46.53        241       
36    SELL       $45.92        241       
37    BUY        $46.38        238       
38    SELL       $54.06        238       
39    BUY        $53.51        241       
40    SELL       $52.67        241       
41    BUY        $54.06        234       
42    SELL       $53.36        234       
43    BUY        $53.12        235       
44    SELL       $59.14        235       
45    BUY        $58.05        240       
46    SELL       $64.05        240       
47    BUY        $64.65        237       
48    SELL       $64.04        237       
49    BUY        $65.21        233       
50    SELL       $64.60        233       
51    BUY        $65.35        231       
52    SELL       $64.72        231       
53    BUY        $60.75        246       

    ==============================
    
