
    === Trading Simulation Log ===
    Date: 2025-02-20 01:06:41
    Symbol: FFIE
    Period: 8d
    Interval: 1m
    Tax: $10.00
    Initial Cash: $10000.00
    Final Value: $10262.02
    Profit/Loss: $262.02 (2.62%)
    Stop Loss Price: 0.02
    Total Trades: 81
    Trade History:
    No.   Action     Price        Shares    
1     BUY        $1.32         7568      
2     SELL       $1.31         7568      
3     BUY        $1.32         7495      
4     SELL       $1.30         7495      
5     BUY        $1.32         7369      
6     SELL       $1.30         7369      
7     BUY        $1.35         7080      
8     SELL       $1.40         7080      
9     BUY        $1.40         7058      
10    SELL       $1.43         7058      
11    BUY        $1.41         7144      
12    SELL       $1.49         7144      
13    BUY        $1.47         7203      
14    SELL       $1.45         7203      
15    BUY        $1.48         7044      
16    SELL       $1.46         7044      
17    BUY        $1.49         6889      
18    SELL       $1.52         6889      
19    BUY        $1.53         6846      
20    SELL       $1.49         6846      
21    BUY        $1.52         6676      
22    SELL       $1.50         6676      
23    BUY        $1.50         6675      
24    SELL       $1.48         6675      
25    BUY        $1.48         6648      
26    SELL       $1.44         6648      
27    BUY        $1.47         6521      
28    SELL       $1.44         6521      
29    BUY        $1.44         6508      
30    SELL       $1.42         6508      
31    BUY        $1.44         6414      
32    SELL       $1.42         6414      
33    BUY        $1.44         6311      
34    SELL       $1.42         6311      
35    BUY        $1.45         6169      
36    SELL       $1.43         6169      
37    BUY        $1.45         6076      
38    SELL       $1.61         6076      
39    BUY        $1.61         6064      
40    SELL       $1.63         6064      
41    BUY        $1.63         6051      
42    SELL       $1.65         6051      
43    BUY        $1.65         6024      
44    SELL       $1.60         6024      
45    BUY        $1.63         5913      
46    SELL       $1.73         5913      
47    BUY        $1.72         5919      
48    SELL       $1.68         5919      
49    BUY        $1.74         5719      
50    SELL       $1.71         5719      
51    BUY        $1.68         5810      
52    SELL       $1.66         5810      
53    BUY        $1.69         5696      
54    SELL       $1.67         5696      
55    BUY        $1.68         5638      
56    SELL       $1.75         5638      
57    BUY        $1.75         5614      
58    SELL       $1.76         5614      
59    BUY        $1.75         5651      
60    SELL       $1.94         5651      
61    BUY        $1.87         5852      
62    SELL       $1.84         5852      
63    BUY        $1.86         5778      
64    SELL       $1.84         5778      
65    BUY        $1.88         5630      
66    SELL       $1.86         5630      
67    BUY        $1.87         5587      
68    SELL       $1.83         5587      
69    BUY        $1.70         6012      
70    SELL       $1.68         6012      
71    BUY        $1.70         5930      
72    SELL       $1.68         5930      
73    BUY        $1.69         5883      
74    SELL       $1.67         5883      
75    BUY        $1.69         5805      
76    SELL       $1.67         5805      
77    BUY        $1.56         6210      
78    SELL       $1.54         6210      
79    BUY        $1.55         6138      
80    SELL       $1.53         6138      
81    BUY        $1.59         5931      

    ==============================
    
