
    === Trading Simulation Log ===
    Date: 2025-02-20 00:04:02
    Symbol: CNSP
    Period: 8d
    Interval: 1m
    Tax: $0.00
    Initial Cash: $10000.00
    Final Value: $8221.68
    Profit/Loss: $-1778.32 (-17.78%)
    Stop Loss Price: 0.00
    Total Trades: 103
    Trade History:
    No.   Action     Price        Shares    
1     BUY        $0.09         107991    
2     SELL       $0.09         107991    
3     BUY        $0.09         107645    
4     SELL       $0.09         107645    
5     BUY        $0.09         106040    
6     SELL       $0.09         106040    
7     BUY        $0.09         106376    
8     SELL       $0.09         106376    
9     BUY        $0.10         104922    
10    SELL       $0.09         104922    
11    BUY        $0.10         102629    
12    SELL       $0.10         102629    
13    BUY        $0.10         101773    
14    SELL       $0.10         101773    
15    BUY        $0.10         100980    
16    SELL       $0.10         100980    
17    BUY        $0.10         100487    
18    SELL       $0.10         100487    
19    BUY        $0.11         99244     
20    SELL       $0.10         99244     
21    BUY        $0.11         97648     
22    SELL       $0.11         97648     
23    BUY        $0.11         96911     
24    SELL       $0.11         96911     
25    BUY        $0.11         96740     
26    SELL       $0.11         96740     
27    BUY        $0.11         92951     
28    SELL       $0.12         92951     
29    BUY        $0.12         92312     
30    SELL       $0.11         92312     
31    BUY        $0.12         90798     
32    SELL       $0.11         90798     
33    BUY        $0.11         96681     
34    SELL       $0.11         96681     
35    BUY        $0.11         94884     
36    SELL       $0.11         94884     
37    BUY        $0.11         93049     
38    SELL       $0.11         93049     
39    BUY        $0.11         90403     
40    SELL       $0.11         90403     
41    BUY        $0.11         90573     
42    SELL       $0.10         90573     
43    BUY        $0.11         89634     
44    SELL       $0.12         89634     
45    BUY        $0.12         89786     
46    SELL       $0.12         89786     
47    BUY        $0.12         89101     
48    SELL       $0.12         89101     
49    BUY        $0.12         86855     
50    SELL       $0.12         86855     
51    BUY        $0.12         85258     
52    SELL       $0.12         85258     
53    BUY        $0.12         85258     
54    SELL       $0.12         85258     
55    BUY        $0.12         83238     
56    SELL       $0.12         83238     
57    BUY        $0.12         81874     
58    SELL       $0.12         81874     
59    BUY        $0.12         81070     
60    SELL       $0.12         81070     
61    BUY        $0.11         90568     
62    SELL       $0.11         90568     
63    BUY        $0.11         90232     
64    SELL       $0.11         90232     
65    BUY        $0.17         58100     
66    SELL       $0.16         58100     
67    BUY        $0.16         57163     
68    SELL       $0.16         57163     
69    BUY        $0.17         54440     
70    SELL       $0.18         54440     
71    BUY        $0.17         56009     
72    SELL       $0.17         56009     
73    BUY        $0.17         55048     
74    SELL       $0.17         55048     
75    BUY        $0.17         56310     
76    SELL       $0.17         56310     
77    BUY        $0.16         58579     
78    SELL       $0.16         58579     
79    BUY        $0.17         55292     
80    SELL       $0.17         55292     
81    BUY        $0.17         54468     
82    SELL       $0.17         54468     
83    BUY        $0.17         53499     
84    SELL       $0.17         53499     
85    BUY        $0.17         53213     
86    SELL       $0.17         53213     
87    BUY        $0.16         53923     
88    SELL       $0.16         53923     
89    BUY        $0.14         61950     
90    SELL       $0.14         61950     
91    BUY        $0.14         61817     
92    SELL       $0.14         61817     
93    BUY        $0.14         60295     
94    SELL       $0.14         60295     
95    BUY        $0.14         62878     
96    SELL       $0.13         62878     
97    BUY        $0.14         59937     
98    SELL       $0.14         59937     
99    BUY        $0.10         86520     
100   SELL       $0.10         86520     
101   BUY        $0.09         87993     
102   SELL       $0.09         87993     
103   BUY        $0.08         98227     

    ==============================
    
