
    === Trading Simulation Log ===
    Date: 2025-02-20 01:05:17
    Symbol: SOPA
    Period: 8d
    Interval: 1m
    Tax: $10.00
    Initial Cash: $10000.00
    Final Value: $9860.59
    Profit/Loss: $-139.41 (-1.39%)
    Stop Loss Price: 0.02
    Total Trades: 157
    Trade History:
    No.   Action     Price        Shares    
1     BUY        $2.24         4459      
2     SELL       $2.21         4459      
3     BUY        $2.27         4333      
4     SELL       $2.22         4333      
5     BUY        $2.26         4240      
6     SELL       $2.24         4240      
7     BUY        $2.26         4193      
8     SELL       $2.23         4193      
9     BUY        $2.27         4111      
10    SELL       $2.24         4111      
11    BUY        $2.28         4039      
12    SELL       $2.26         4039      
13    BUY        $2.28         3986      
14    SELL       $2.24         3986      
15    BUY        $2.27         3926      
16    SELL       $2.24         3926      
17    BUY        $2.27         3874      
18    SELL       $2.52         3874      
19    BUY        $2.55         3823      
20    SELL       $2.52         3823      
21    BUY        $2.58         3728      
22    SELL       $2.54         3728      
23    BUY        $2.55         3705      
24    SELL       $2.50         3705      
25    BUY        $2.56         3615      
26    SELL       $2.58         3615      
27    BUY        $2.60         3579      
28    SELL       $2.65         3579      
29    BUY        $2.68         3531      
30    SELL       $2.75         3531      
31    BUY        $2.80         3464      
32    SELL       $2.76         3464      
33    BUY        $2.77         3444      
34    SELL       $2.74         3444      
35    BUY        $2.77         3400      
36    SELL       $2.75         3400      
37    BUY        $2.76         3377      
38    SELL       $2.83         3377      
39    BUY        $2.87         3329      
40    SELL       $2.81         3329      
41    BUY        $2.89         3233      
42    SELL       $2.92         3233      
43    BUY        $2.95         3193      
44    SELL       $2.87         3193      
45    BUY        $2.92         3133      
46    SELL       $2.89         3133      
47    BUY        $2.89         3125      
48    SELL       $2.84         3125      
49    BUY        $2.89         3062      
50    SELL       $3.10         3062      
51    BUY        $3.13         3031      
52    SELL       $3.06         3031      
53    BUY        $3.03         3053      
54    SELL       $2.96         3053      
55    BUY        $2.99         3016      
56    SELL       $2.91         3016      
57    BUY        $2.40         3649      
58    SELL       $2.37         3649      
59    BUY        $2.42         3560      
60    SELL       $3.60         3560      
61    BUY        $3.45         3709      
62    SELL       $3.34         3709      
63    BUY        $3.56         3482      
64    SELL       $3.39         3482      
65    BUY        $3.41         3456      
66    SELL       $3.23         3456      
67    BUY        $3.25         3428      
68    SELL       $3.22         3428      
69    BUY        $3.30         3338      
70    SELL       $3.25         3338      
71    BUY        $3.22         3363      
72    SELL       $3.19         3363      
73    BUY        $3.24         3311      
74    SELL       $3.21         3311      
75    BUY        $3.27         3246      
76    SELL       $3.23         3246      
77    BUY        $3.28         3191      
78    SELL       $3.24         3191      
79    BUY        $3.26         3165      
80    SELL       $4.29         3165      
81    BUY        $4.15         3270      
82    SELL       $4.40         3270      
83    BUY        $4.05         3548      
84    SELL       $3.82         3548      
85    BUY        $3.65         3707      
86    SELL       $3.60         3707      
87    BUY        $3.63         3671      
88    SELL       $4.95         3671      
89    BUY        $4.93         3681      
90    SELL       $4.82         3681      
91    BUY        $4.72         3752      
92    SELL       $5.28         3752      
93    BUY        $5.70         3468      
94    SELL       $5.79         3468      
95    BUY        $5.82         3448      
96    SELL       $5.76         3448      
97    BUY        $5.97         3324      
98    SELL       $5.75         3324      
99    BUY        $5.93         3220      
100   SELL       $6.12         3220      
101   BUY        $5.97         3297      
102   SELL       $5.71         3297      
103   BUY        $6.01         3129      
104   SELL       $6.32         3129      
105   BUY        $6.11         3231      
106   SELL       $5.93         3231      
107   BUY        $6.07         3151      
108   SELL       $5.85         3151      
109   BUY        $5.88         3131      
110   SELL       $5.83         3131      
111   BUY        $5.95         3062      
112   SELL       $5.75         3062      
113   BUY        $5.70         3085      
114   SELL       $4.70         3085      
115   BUY        $4.19         3456      
116   SELL       $4.11         3456      
117   BUY        $4.16         3413      
118   SELL       $4.09         3413      
119   BUY        $4.21         3315      
120   SELL       $4.16         3315      
121   BUY        $3.70         3717      
122   SELL       $3.66         3717      
123   BUY        $3.75         3622      
124   SELL       $3.70         3622      
125   BUY        $3.78         3540      
126   SELL       $3.75         3540      
127   BUY        $3.87         3426      
128   SELL       $3.81         3426      
129   BUY        $3.78         3450      
130   SELL       $3.75         3450      
131   BUY        $3.79         3409      
132   SELL       $3.65         3409      
133   BUY        $3.64         3413      
134   SELL       $3.58         3413      
135   BUY        $3.48         3495      
136   SELL       $3.45         3495      
137   BUY        $3.46         3484      
138   SELL       $3.40         3484      
139   BUY        $3.42         3456      
140   SELL       $3.36         3456      
141   BUY        $3.51         3298      
142   SELL       $3.48         3298      
143   BUY        $3.48         3290      
144   SELL       $3.43         3290      
145   BUY        $2.33         4844      
146   SELL       $2.30         4844      
147   BUY        $2.31         4814      
148   SELL       $2.26         4814      
149   BUY        $2.32         4691      
150   SELL       $2.23         4691      
151   BUY        $2.24         4651      
152   SELL       $2.22         4651      
153   BUY        $2.29         4500      
154   SELL       $2.26         4500      
155   BUY        $2.24         4532      
156   SELL       $2.20         4532      
157   BUY        $2.21         4492      

    ==============================
    
