
    === Trading Simulation Log ===
    Date: 2025-02-20 01:05:14
    Symbol: HCTI
    Period: 8d
    Interval: 1m
    Tax: $10.00
    Initial Cash: $10000.00
    Final Value: $8602.71
    Profit/Loss: $-1397.29 (-13.97%)
    Stop Loss Price: 0.00
    Total Trades: 54
    Trade History:
    No.   Action     Price        Shares    
1     BUY        $0.63         15859     
2     SELL       $0.62         15859     
3     BUY        $0.63         15578     
4     SELL       $0.62         15578     
5     BUY        $0.61         15821     
6     SELL       $0.60         15821     
7     BUY        $0.61         15531     
8     SELL       $0.61         15531     
9     BUY        $0.61         15384     
10    SELL       $0.60         15384     
11    BUY        $0.61         15134     
12    SELL       $0.60         15134     
13    BUY        $0.57         15946     
14    SELL       $0.56         15946     
15    BUY        $0.58         15129     
16    SELL       $0.51         15129     
17    BUY        $0.47         16329     
18    SELL       $0.79         16329     
19    BUY        $0.76         17093     
20    SELL       $0.75         17093     
21    BUY        $0.75         17114     
22    SELL       $0.74         17114     
23    BUY        $0.74         17052     
24    SELL       $0.72         17052     
25    BUY        $0.72         17008     
26    SELL       $0.68         17008     
27    BUY        $0.67         17054     
28    SELL       $0.66         17054     
29    BUY        $0.66         16978     
30    SELL       $0.66         16978     
31    BUY        $0.66         16804     
32    SELL       $0.65         16804     
33    BUY        $0.66         16596     
34    SELL       $0.64         16596     
35    BUY        $0.66         16118     
36    SELL       $0.65         16118     
37    BUY        $0.63         16477     
38    SELL       $0.62         16477     
39    BUY        $0.63         16191     
40    SELL       $0.63         16191     
41    BUY        $0.63         15998     
42    SELL       $0.63         15998     
43    BUY        $0.64         15578     
44    SELL       $0.62         15578     
45    BUY        $0.57         17050     
46    SELL       $0.56         17050     
47    BUY        $0.56         17103     
48    SELL       $0.55         17103     
49    BUY        $0.45         20752     
50    SELL       $0.44         20752     
51    BUY        $0.46         19915     
52    SELL       $0.45         19915     
53    BUY        $0.45         19534     
54    SELL       $0.44         19534     

    ==============================
    
